run,sampling_method,threads,stop_mode,number_of_samples,time_to_completion_s,returncode,cmd
1,EBE,1,num_samples,90000000,93.375,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t1 -mf -sEBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,EBE,1,precision,1632010149,1681.988,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t1 -mf -sEBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,EBE,2,num_samples,90000000,68.548,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t2 -mf -sEBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,EBE,2,precision,1632010149,1093.815,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t2 -mf -sEBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,EBE,4,num_samples,90000000,30.322,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t4 -mf -sEBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,EBE,4,precision,1632010149,764.460,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t4 -mf -sEBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,EBE,8,num_samples,90000000,24.441,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t8 -mf -sEBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,EBE,8,precision,1632010149,302.260,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t8 -mf -sEBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,EBE,16,num_samples,90000000,19.990,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t16 -mf -sEBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,EBE,16,precision,1632010149,176.879,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t16 -mf -sEBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,EBE,32,num_samples,90000000,11.579,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t32 -mf -sEBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,EBE,32,precision,1632010149,210.866,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t32 -mf -sEBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,EBE,64,num_samples,90000000,6.934,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t64 -mf -sEBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,EBE,64,precision,1632010149,122.036,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t64 -mf -sEBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,EBE,128,num_samples,90000000,5.143,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t128 -mf -sEBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,EBE,128,precision,1632010149,88.513,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t128 -mf -sEBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,NBE,1,num_samples,90000000,651.839,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t1 -mf -sNBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,NBE,1,precision,N/A,6000.009,TIMEOUT,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t1 -mf -sNBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,NBE,2,num_samples,90000000,341.874,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t2 -mf -sNBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,NBE,2,precision,N/A,6000.107,TIMEOUT,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t2 -mf -sNBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,NBE,4,num_samples,90000000,185.557,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t4 -mf -sNBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,NBE,4,precision,1632010149,4919.987,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t4 -mf -sNBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,NBE,8,num_samples,90000000,98.779,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t8 -mf -sNBE -n90000000 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
1,NBE,8,precision,1632010149,1786.534,0,/home/echennau/school/BLANT/benchmark/DEV/blant -k5 -t8 -mf -sNBE -p1e-05 /home/echennau/school/BLANT/benchmark/DEV/networks/yeast.el
